iter	RMSE
0	11439.53243
1	11014.61012
2	10627.81779
3	10239.52855
4	9907.109209
5	9581.348929
6	9255.80228
7	8956.752831
8	8672.721275
9	8421.623659
10	8160.923689
11	7948.319331
12	7729.365692
13	7545.782528
14	7355.872328
15	7162.06502
16	6987.341314
17	6826.435349
18	6667.137863
19	6508.565732
20	6361.035568
21	6240.487986
22	6133.646315
23	6018.445407
24	5907.395495
25	5818.576504
26	5719.154282
27	5630.385714
28	5549.40383
29	5474.775219
30	5396.651342
31	5331.962551
32	5265.278217
33	5209.296185
34	5152.668083
35	5100.205542
36	5050.918324
37	5003.77
38	4959.810371
39	4915.798658
40	4879.571576
41	4847.736241
42	4812.736172
43	4778.831609
44	4750.289758
45	4721.097149
46	4694.79421
47	4668.64893
48	4645.888682
49	4620.815822
50	4595.79727
51	4577.651629
52	4556.132725
53	4541.677481
54	4524.722105
55	4507.035267
56	4490.747844
57	4475.015281
58	4462.382878
59	4451.995506
60	4439.248972
61	4427.266648
62	4416.788964
63	4404.047632
64	4393.497642
65	4383.341914
66	4374.696345
67	4367.197042
68	4358.617083
69	4350.51521
70	4343.56056
71	4336.961048
72	4329.249539
73	4320.989981
74	4314.973444
75	4307.010848
76	4299.043566
77	4290.616351
78	4283.893561
79	4278.065341
80	4272.910821
81	4266.64064
82	4265.652359
83	4260.76384
84	4254.749171
85	4251.134938
86	4244.258852
87	4237.728684
88	4232.104748
89	4229.067246
90	4224.781852
91	4222.065814
92	4219.164566
93	4217.025401
94	4210.395274
95	4206.382077
96	4201.936836
97	4197.336786
98	4193.705233
99	4189.20697
