iter	Passed	Remaining
0	1	192
1	3	161
2	6	205
3	9	223
4	11	213
5	13	209
6	15	200
7	17	206
8	21	215
9	22	203
10	24	199
11	26	194
12	28	192
13	31	194
14	34	193
15	36	190
16	38	186
17	40	183
18	42	179
19	45	182
20	48	183
21	50	177
22	52	174
23	54	173
24	57	173
25	61	175
26	64	173
27	66	170
28	68	166
29	70	163
30	73	163
31	75	160
32	77	157
33	79	154
34	80	150
35	83	148
36	87	148
37	89	145
38	91	142
39	92	138
40	94	135
41	95	132
42	98	130
43	102	130
44	104	127
45	106	124
46	108	121
47	111	120
48	114	119
49	117	117
50	118	114
51	120	111
52	124	110
53	127	108
54	129	105
55	131	103
56	133	100
57	136	99
58	140	97
59	142	95
60	144	92
61	146	89
62	148	87
63	151	85
64	154	83
65	156	80
66	158	78
67	160	75
68	164	73
69	167	71
70	169	69
71	171	66
72	173	64
73	175	61
74	179	59
75	182	57
76	184	55
77	186	52
78	188	50
79	191	47
80	194	45
81	196	43
82	197	40
83	199	37
84	201	35
85	204	33
86	207	31
87	209	28
88	212	26
89	214	23
90	216	21
91	219	19
92	222	16
93	223	14
94	225	11
95	227	9
96	229	7
97	232	4
98	235	2
99	237	0
